"name","desc","lang","sentences__text","sentences__intent","sentences__entities__entity","sentences__entities__start","sentences__entities__stop","sentences__entities__text","sentences__training"
"ChatbotCorpus","Visit https://github.com/sebischair/NLU-Evaluation-Corpora for more information","en","i want to go marienplatz","FindConnection","StationDest","4","4","marienplatz","False"
"","","","when is the next train in muncher freiheit?","DepartureTime","Vehicle","4","4","train","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","7","muncher freiheit",""
"","","","when does the next u-bahn leaves from garching forschungszentrum?","DepartureTime","Vehicle","4","6","u-bahn","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","9","10","garching forschungszentrum",""
"","","","from olympia einkaufszentrum to hauptbahnhof","FindConnection","StationStart","1","2","olympia einkaufszentrum","False"
"","","","","","StationDest","4","4","hauptbahnhof",""
"","","","when is the next train from winterstraße 12 to kieferngarten","FindConnection","Vehicle","4","4","train","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","7","winterstraße 12",""
"","","","","","StationDest","9","9","kieferngarten",""
"","","","when is the next rocket from winterstraße 12 to kieferngarte","FindConnection","Vehicle","4","4","rocket","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","7","winterstraße 12",""
"","","","","","StationDest","9","9","kieferngarte",""
"","","","can you find a connection from garching to hauptbahnhof?","FindConnection","StationStart","6","6","garching","False"
"","","","","","StationDest","8","8","hauptbahnhof",""
"","","","how to get from untere strassäcker 21 to fröttmaning","FindConnection","StationStart","4","6","untere strassäcker 21","False"
"","","","","","StationDest","8","8","fröttmaning",""
"","","","how i can get from marienplatz to garching","FindConnection","StationStart","5","5","marienplatz","False"
"","","","","","StationDest","7","7","garching",""
"","","","connection from boltzmannstraße to kieferngarten","FindConnection","StationStart","2","2","boltzmannstraße","False"
"","","","","","StationDest","4","4","kieferngarten",""
"","","","how to get from bonner platz to freimann?","FindConnection","StationStart","4","5","bonner platz","False"
"","","","","","StationDest","7","7","freimann",""
"","","","when is the next s-bahn leaving at garching?","DepartureTime","Vehicle","4","6","s-bahn","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","9","9","garching",""
"","","","how do i get from oez to hbf?","FindConnection","StationStart","5","5","oez","False"
"","","","","","StationDest","7","7","hbf",""
"","","","how to get from winterstrasse 12 to fröttmaning","FindConnection","StationStart","4","5","winterstrasse 12","False"
"","","","","","StationDest","7","7","fröttmaning",""
"","","","how do i get from garching forschungszentrum to pasing","FindConnection","StationStart","5","6","garching forschungszentrum","False"
"","","","","","StationDest","8","8","pasing",""
"","","","theresienstraße to assling","FindConnection","StationStart","0","0","theresienstraße","False"
"","","","","","StationDest","2","2","assling",""
"","","","how can i get from theresienstraße to munich east?","FindConnection","StationStart","5","5","theresienstraße","False"
"","","","","","StationDest","7","8","munich east",""
"","","","when does the next bus starts from garching?","DepartureTime","Vehicle","4","4","bus","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","garching",""
"","","","from quiddestraße to garching?","FindConnection","StationStart","1","1","quiddestraße","False"
"","","","","","StationDest","3","3","garching",""
"","","","can you find a connection from kurt-eisner-straße to garching forschungszentrum?","FindConnection","StationStart","6","10","kurt-eisner-straße","False"
"","","","","","StationDest","12","13","garching forschungszentrum",""
"","","","can you find a connection from quiddestraße to garching forschungszentrum?","FindConnection","StationStart","6","6","quiddestraße","False"
"","","","","","StationDest","8","9","garching forschungszentrum",""
"","","","when does the next train leaves at garching?","DepartureTime","Vehicle","4","4","train","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","garching",""
"","","","from hauptbahnhof to garching?","FindConnection","StationStart","1","1","hauptbahnhof","False"
"","","","","","StationDest","3","3","garching",""
"","","","how can i get to glockenbachviertel from garching forschungszentrum?","FindConnection","StationStart","7","8","garching forschungszentrum","False"
"","","","","","StationDest","5","5","glockenbachviertel",""
"","","","how i can get from garching to nordfriedhof","FindConnection","StationStart","5","5","garching","False"
"","","","","","StationDest","7","7","nordfriedhof",""
"","","","how can i get to glockenbachviertel from garching forschungszentrum?","FindConnection","StationStart","7","8","garching forschungszentrum","False"
"","","","","","StationDest","5","5","glockenbachviertel",""
"","","","when is the next train leaving in garching forschungszentrum","DepartureTime","Vehicle","4","4","train","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","8","garching forschungszentrum",""
"","","","how can i get from moosach to quiddestraße?","FindConnection","StationStart","5","5","moosach","False"
"","","","","","StationDest","7","7","quiddestraße",""
"","","","how can i get from moosach to poccistraße?","FindConnection","StationStart","5","5","moosach","False"
"","","","","","StationDest","7","7","poccistraße",""
"","","","how can i get from kurt-eisner-straße to garching forschungszentrum?","FindConnection","StationStart","5","9","kurt-eisner-straße","False"
"","","","","","StationDest","11","12","garching forschungszentrum",""
"","","","how can i get from moosach to quiddestraße?","FindConnection","StationStart","5","5","moosach","False"
"","","","","","StationDest","7","7","quiddestraße",""
"","","","how can i get from moosach to odeonsplatz?","FindConnection","StationStart","5","5","moosach","False"
"","","","","","StationDest","7","7","odeonsplatz",""
"","","","when does the next bus starts at garching?","DepartureTime","Vehicle","4","4","bus","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","garching",""
"","","","what's the shortest way from quiddestraße to odeonsplatz?","FindConnection","Criterion","4","4","shortest","False"
"","","","","","StationStart","7","7","quiddestraße",""
"","","","","","StationDest","9","9","odeonsplatz",""
"","","","when is the next bus from ostbahnhof","DepartureTime","Vehicle","4","4","bus","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","6","ostbahnhof",""
"","","","how i can get from garching to neuperlach sued","FindConnection","StationStart","5","5","garching","False"
"","","","","","StationDest","7","8","neuperlach sued",""
"","","","when is the next train in munchner freiheit?","DepartureTime","Vehicle","4","4","train","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","7","munchner freiheit",""
"","","","how i can get from marienplatz to garching?","FindConnection","StationStart","5","5","marienplatz","False"
"","","","","","StationDest","7","7","garching",""
"","","","how do i get from poccistraße to laim","FindConnection","StationStart","5","5","poccistraße","False"
"","","","","","StationDest","7","7","laim",""
"","","","i want to go garching from marienplatz","FindConnection","StationStart","6","6","marienplatz","False"
"","","","","","StationDest","4","4","garching",""
"","","","how i can get from marienplatz to garching?","FindConnection","StationStart","5","5","marienplatz","False"
"","","","","","StationDest","7","7","garching",""
"","","","how can i get from hauptbahnhof to odeonsplatz","FindConnection","StationStart","5","5","hauptbahnhof","False"
"","","","","","StationDest","7","7","odeonsplatz",""
"","","","prinzregentenplatz to rotkreuzplatz","FindConnection","StationStart","0","0","prinzregentenplatz","False"
"","","","","","StationDest","2","2","rotkreuzplatz",""
"","","","i want to go to garching from marienplatz","FindConnection","StationStart","7","7","marienplatz","False"
"","","","","","StationDest","5","5","garching",""
"","","","next train from garching","DepartureTime","Criterion","0","0","next","False"
"","","","","","Vehicle","1","1","train",""
"","","","","","StationStart","3","3","garching",""
"","","","from prinzregentenplatz to rotkreuzplatz","FindConnection","StationStart","1","1","prinzregentenplatz","False"
"","","","","","StationDest","3","3","rotkreuzplatz",""
"","","","when is the next subway from garching forschungszentrum","DepartureTime","Vehicle","4","4","subway","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","7","garching forschungszentrum",""
"","","","from garching to klinikum","FindConnection","StationStart","1","1","garching","False"
"","","","","","StationDest","3","3","klinikum",""
"","","","from garching foschungszentrum to odeonsplatz","FindConnection","StationStart","1","2","garching foschungszentrum","False"
"","","","","","StationDest","4","4","odeonsplatz",""
"","","","next bus in garching","DepartureTime","Vehicle","1","1","bus","False"
"","","","","","Criterion","0","0","next",""
"","","","","","StationStart","3","3","garching",""
"","","","when does the train leaving in garching forschungszentrum","DepartureTime","Vehicle","3","3","train","False"
"","","","","","StationStart","6","7","garching forschungszentrum",""
"","","","next subway from garching forschungszentrum","DepartureTime","Criterion","0","0","next","False"
"","","","","","Vehicle","1","1","subway",""
"","","","","","StationStart","3","4","garching forschungszentrum",""
"","","","tell me the next bus from garching","DepartureTime","Vehicle","4","4","bus","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","6","garching",""
"","","","next bus from garching, please.","DepartureTime","Vehicle","1","1","bus","False"
"","","","","","Criterion","0","0","next",""
"","","","","","StationStart","3","3","garching",""
"","","","next bus from garching","DepartureTime","Vehicle","1","1","bus","False"
"","","","","","Criterion","0","0","next",""
"","","","","","StationStart","3","3","garching",""
"","","","next bus from central station","DepartureTime","Vehicle","1","1","bus","False"
"","","","","","Criterion","0","0","next",""
"","","","","","StationStart","3","4","central station",""
"","","","from garching to marienplatz","FindConnection","StationStart","1","1","garching","False"
"","","","","","StationDest","3","3","marienplatz",""
"","","","next bus from garching.","DepartureTime","Vehicle","1","1","bus","False"
"","","","","","Criterion","0","0","next",""
"","","","","","StationStart","3","3","garching",""
"","","","connection from garching to hauptbahnhof?","FindConnection","StationStart","2","2","garching","False"
"","","","","","StationDest","4","4","hauptbahnhof",""
"","","","when does the next bus departs from garching?","DepartureTime","Vehicle","4","4","bus","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","garching",""
"","","","find connection from hauptbahnhof to odeonsplatz","FindConnection","StationStart","3","3","hauptbahnhof","False"
"","","","","","StationDest","5","5","odeonsplatz",""
"","","","when does the next u-bahn departs at garching forschungszentrum?","DepartureTime","Vehicle","4","6","u-bahn","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","9","10","garching forschungszentrum",""
"","","","when does the next u-bahn departs at garching?","DepartureTime","Vehicle","4","6","u-bahn","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","9","9","garching",""
"","","","when does the next subway departs at garching","DepartureTime","Vehicle","4","4","subway","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","7","garching",""
"","","","when is the next train in garching?","DepartureTime","Vehicle","4","4","train","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","6","garching",""
"","","","how to get from münchner freiheit to garching ?","FindConnection","StationStart","4","5","münchner freiheit","False"
"","","","","","StationDest","7","7","garching",""
"","","","implerstraße to ostbahnhof","FindConnection","StationStart","0","0","implerstraße","False"
"","","","","","StationDest","2","2","ostbahnhof",""
"","","","how can i get from hauptbahnhof to odeonsplatz?","FindConnection","StationStart","5","5","hauptbahnhof","False"
"","","","","","StationDest","7","7","odeonsplatz",""
"","","","how can i go from garching forschungszentrum to prinzregentenplatz","FindConnection","StationStart","5","6","garching forschungszentrum","False"
"","","","","","StationDest","8","8","prinzregentenplatz",""
"","","","how can i get from mangfallplatz to garching","FindConnection","StationStart","5","5","mangfallplatz","False"
"","","","","","StationDest","7","7","garching",""
"","","","how can i get to hohenlindenerstraße","FindConnection","StationDest","5","5","hohenlindenerstraße","False"
"","","","harthaus to hackerbrücke","FindConnection","StationStart","0","0","harthaus","False"
"","","","","","StationDest","2","2","hackerbrücke",""
"","","","how can i get from feldmoching to garching forschungszentrum?","FindConnection","StationStart","5","5","feldmoching","False"
"","","","","","StationDest","7","8","garching forschungszentrum",""
"","","","from marienplatz to petershausen","FindConnection","StationStart","1","1","marienplatz","False"
"","","","","","StationDest","3","3","petershausen",""
"","","","when is the train from garching to marienplatz","FindConnection","Vehicle","3","3","train","False"
"","","","","","StationStart","5","5","garching",""
"","","","","","StationDest","7","7","marienplatz",""
"","","","neufahrn to garching","FindConnection","StationStart","0","0","neufahrn","False"
"","","","","","StationDest","2","2","garching",""
"","","","how can i get from mangfallplatz to garching","FindConnection","StationStart","5","5","mangfallplatz","False"
"","","","","","StationDest","7","7","garching",""
"","","","how can i get to hohenlindenerstr","FindConnection","StationDest","5","5","hohenlindenerstr","False"
"","","","when is the next bus from garching forschungzentrum","DepartureTime","Vehicle","4","4","bus","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","7","garching forschungzentrum",""
"","","","how do i get from spitzingplatz to poccistraße?","FindConnection","StationStart","5","5","spitzingplatz","False"
"","","","","","StationDest","7","7","poccistraße",""
"","","","how can i get from garching forschungszentrum to marienplatz","FindConnection","StationStart","5","6","garching forschungszentrum","False"
"","","","","","StationDest","8","8","marienplatz",""
"","","","how can i get from klinkum to marienplatz?","FindConnection","StationStart","5","5","klinkum","False"
"","","","","","StationDest","7","7","marienplatz",""
"","","","how to get from alte heide to marienplatz","FindConnection","StationStart","4","5","alte heide","False"
"","","","","","StationDest","7","7","marienplatz",""
"","","","next train from muenchen freicheit","DepartureTime","Vehicle","1","1","train","False"
"","","","","","Criterion","0","0","next",""
"","","","","","StationStart","3","4","muenchen freicheit",""
"","","","depart in garching, i assume","DepartureTime","StationStart","2","2","garching","False"
"","","","when does the next u-bahn depart at garching?","DepartureTime","Vehicle","4","6","u-bahn","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","9","9","garching",""
"","","","the next bus from garching forschungzentrum","DepartureTime","Vehicle","2","2","bus","False"
"","","","","","Criterion","1","1","next",""
"","","","","","StationStart","4","5","garching forschungzentrum",""
"","","","when is the next train in alte heide?","DepartureTime","Vehicle","4","4","train","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","7","alte heide",""
"","","","or depart from garching","DepartureTime","StationStart","3","3","garching","False"
"","","","hello munich city bot! how do i get from münchner freiheit to scheidplatz?","FindConnection","StationStart","10","11","münchner freiheit","False"
"","","","","","StationDest","13","13","scheidplatz",""
"","","","how can i get from garching forschungszentrum to prinzregentenplatz","FindConnection","StationStart","5","6","garching forschungszentrum","False"
"","","","","","StationDest","8","8","prinzregentenplatz",""
"","","","how can i get from neufahrn to garching","FindConnection","StationStart","5","5","neufahrn","False"
"","","","","","StationDest","7","7","garching",""
"","","","take me to the airport","FindConnection","StationDest","4","4","airport","False"
"","","","when does the next u6 leave from garching forschungszentrum","DepartureTime","Line","4","4","u6","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","7","8","garching forschungszentrum",""
"","","","how i can get from munchner freiheit to nordfriedhof?","FindConnection","StationStart","5","6","munchner freiheit","False"
"","","","","","StationDest","8","8","nordfriedhof",""
"","","","from harthaus to hackerbrücke","FindConnection","StationStart","1","1","harthaus","False"
"","","","","","StationDest","3","3","hackerbrücke",""
"","","","when is the train from garching","DepartureTime","Vehicle","3","3","train","False"
"","","","","","StationStart","5","5","garching",""
"","","","what is the next train from münchner freiheit","DepartureTime","Vehicle","4","4","train","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","7","münchner freiheit",""
"","","","how can i get from theresienstrasse to garching forschungszentrum","FindConnection","StationStart","5","5","theresienstrasse","False"
"","","","","","StationDest","7","8","garching forschungszentrum",""
"","","","how can i get from münchner freiheit to odeonsplatz","FindConnection","StationStart","5","6","münchner freiheit","False"
"","","","","","StationDest","8","8","odeonsplatz",""
"","","","from garching to hauptbahnhof","FindConnection","StationStart","1","1","garching","False"
"","","","","","StationDest","3","3","hauptbahnhof",""
"","","","how can i get from garching to odeonsplatz","FindConnection","StationStart","5","5","garching","False"
"","","","","","StationDest","7","7","odeonsplatz",""
"","","","start: neufahrn end:garching","FindConnection","StationStart","2","2","neufahrn","False"
"","","","","","StationDest","5","5","garching",""
"","","","how can i get from studentenstadt to garching","FindConnection","StationStart","5","5","studentenstadt","False"
"","","","","","StationDest","7","7","garching",""
"","","","when is the next bus from garching","DepartureTime","Vehicle","4","4","bus","False"
"","","","","","Criterion","3","3","next",""
"","","","","","StationStart","6","6","garching",""
"","","","take me from hauptbahnhof to odeonsplatz","FindConnection","StationStart","3","3","hauptbahnhof","False"
"","","","","","StationDest","5","5","odeonsplatz",""
"","","","what's the shortest connection between quiddestraße and odeonsplatz?","FindConnection","Criterion","4","4","shortest","True"
